11090,0
300.94,11078,0
300.96,11110,0
300.98,10985,0
301.00,10980,0
301.02,10963,0
301.04,10928,0
301.06,10995,0
301.08,11071,0
301.10,11016,0
301.12,11004,0
301.14,11002,0
301.16,10989,0
301.18,11014,0
301.20,11049,0
301.22,11048,0
301.24,11052,0
301.26,11022,0
301.28,11029,0
301.30,10948,0
301.32,11009,0
301.34,11036,0
301.35,11125,0
301.37,11111,0
301.39,10993,0
301.41,10966,0
301.43,10974,0
301.45,10954,0
301.47,11028,0
301.49,11010,0
301.51,11002,0
301.53,11071,0
301.55,11040,0
301.57,11011,0
301.59,11006,0
301.61,10927,0
301.63,10976,0
301.65,11004,0
301.67,11011,0
301.69,11062,0
301.71,10989,0
301.73,11025,0
301.75,11040,0
301.77,11087,0
301.79,11051,0
301.81,11091,0
301.83,10942,0
301.85,10976,0
301.87,11002,0
301.89,11006,0
301.91,11028,0
301.93,11004,0
301.95,10986,0
301.97,10955,0
301.99,10977,0
302.01,11001,0
302.03,11017,0
302.05,11062,0
302.07,11047,0
302.09,11089,0
302.11,11048,0
302.13,10968,0
302.15,10951,0
302.17,11045,0
302.19,11070,0
302.21,11069,0
302.23,10989,0
302.25,10885,0
302.27,10963,0
302.29,10976,0
302.31,11033,0
302.33,11091,0
302.35,10945,0
302.37,10948,0
302.39,10967,0
302.40,11084,0
302.42,11078,0
302.44,10995,0
302.46,11002,0
302.48,11097,0
302.50,11003,0
302.52,10980,0
302.54,11033,0
302.56,11030,0
302.58,10900,0
302.60,10953,0
302.62,11008,0
302.64,11027,0
302.66,10957,0
302.68,10951,0
302.70,11019,0
302.72,11106,0
302.74,10993,0
302.76,11014,0
302.78,11036,0
302.80,11015,0
302.82,10944,0
302.84,11107,0
302.86,11062,0
302.88,11017,0
302.90,11008,0
302.92,10952,0
302.94,10986,0
302.96,11098,0
302.98,10998,0
303.00,10958,0
303.02,10916,0
303.04,10993,0
303.06,11008,0
303.08,11005,0
303.10,11050,0
303.12,11040,0
303.14,11076,0
303.16,10976,0
303.18,10916,0
303.20,11001,0
303.22,10970,0
303.24,11047,0
303.26,11091,0
303.28,11055,0
303.30,10988,0
303.32,11008,0
303.34,10941,0
303.36,11003,0
303.38,11060,0
303.40,11028,0
303.42,11050,0
303.43,11111,0
303.45,11095,0
303.47,11102,0
303.49,10962,0
303.51,10887,0
303.53,10992,0
303.55,10985,0
303.57,11072,0
303.59,10977,0
303.61,10941,0
303.63,10946,0
303.65,11011,0
303.67,11026,0
303.69,11092,0
303.71,11046,0
303.73,11032,0
303.75,11053,0
303.77,11036,0
303.79,11059,0
303.81,10944,0
303.83,10960,0
303.85,10975,0
303.87,10976,0
303.89,10969,0
303.91,11016,0
303.93,11086,0
303.95,11071,0
303.97,11041,0
303.99,11017,0
304.01,11029,0
304.03,10954,0
304.05,10963,0
304.07,11025,0
304.09,11087,0
304.11,11107,0
304.13,10970,0
304.15,10939,0
304.17,10968,0
304.19,11032,0
304.21,11057,0
304.23,11033,0
304.25,10987,0
304.27,10971,0
304.29,11074,0
304.31,11074,0
304.33,10991,0
304.35,10987,0
304.37,11046,0
304.39,11000,0
304.41,11118,0
304.43,11044,0
304.45,10993,0
304.47,10945,0
304.48,10912,0
304.50,11005,0
304.52,11035,0
304.54,11062,0
304.56,11075,0
304.58,11029,0
304.60,10998,0
304.62,10965,0
304.64,10951,0
304.66,11045,0
304.68,11026,0
304.70,11040,0
304.72,11043,0
304.74,10890,0
304.76,10995,0
304.78,11026,0
304.80,11009,0
304.82,11113,0
304.84,11044,0
304.86,10983,0
304.88,10960,0
304.90,10968,0
304.92,11061,0
304.94,11027,0
304.96,11126,0
304.98,11080,0
305.00,11004,0
305.02,11025,0
305.04,11075,0
305.06,11064,0
305.08,10961,0
305.10,11010,0
305.12,10946,0
305.14,10924,0
305.16,11018,0
305.18,10985,0
305.20,10998,0
305.22,11008,0
305.24,11072,0
305.26,11106,0
305.28,11098,0
305.30,10983,0
305.32,10956,0
305.34,10981,0
305.36,10999,0
305.38,10966,0
305.40,10910,0
305.42,10993,0
305.44,10993,0
305.46,10987,0
305.48,11019,0
305.50,11061,0
305.51,11018,0
305.53,11070,0
305.55,11022,0
305.57,11025,0
305.59,10993,0
305.61,10989,0
305.63,10966,0
305.65,11055,0
305.67,11082,0
305.69,11033,0
305.71,11018,0
305.73,10985,0
305.75,10988,0
305.77,10978,0
305.79,11075,0
305.81,10982,0
305.83,10936,0
305.85,10938,0
305.87,11033,0
305.89,11038,0
305.91,11071,0
305.93,10973,0
305.95,10957,0
305.97,11020,0
305.99,11081,0
306.01,11071,0
306.03,11017,0
306.05,11060,0
306.07,11025,0
306.09,11058,0
306.11,11032,0
306.13,11020,0
306.15,10994,0
306.17,10963,0
306.19,10953,0
306.21,11010,0
306.23,11030,0
306.25,10958,0
306.27,10972,0
306.29,10990,0
306.31,10997,0
306.33,11067,0
306.35,10939,0
306.37,10953,0
306.39,10986,0
306.41,11012,0
306.43,11014,0
306.45,10931,0
306.47,10977,0
306.49,10973,0
306.51,10955,0
306.53,11020,0
306.54,11028,0
306.56,11006,0
306.58,11022,0
306.60,11079,0
306.62,11124,0
306.64,11081,0
306.66,11035,0
306.68,10936,0
306.70,10990,0
306.72,11052,0
306.74,11017,0
306.76,10956,0
306.78,10968,0
306.80,10997,0
306.82,10964,0
306.84,11071,0
306.86,11054,0
306.88,11034,0
306.90,11076,0
306.92,11043,0
306.94,11030,0
306.96,10995,0
306.98,10963,0
307.00,10985,0
307.02,11041,0
307.04,11062,0
307.06,11051,0
307.08,11043,0
307.10,10987,0
307.12,11023,0
307.14,11119,0
307.16,10956,0
307.18,10970,0
307.20,10966,0
307.22,10981,0
307.24,11068,0
307.26,11052,0
307.28,11046,0
307.30,11048,0
307.32,10982,0
307.34,11010,0
307.36,11044,0
307.38,11030,0
307.40,11067,0
307.42,10990,0
307.44,11019,0
307.46,10971,0
307.48,11022,0
307.50,11030,0
307.52,10991,0
307.54,11012,0
307.56,11069,0
307.58,11117,0
307.59,11067,0
307.61,11028,0
307.63,11038,0
307.65,11035,0
307.67,11061,0
307.69,11094,0
307.71,11079,0
307.73,11015,0
307.75,11088,0
307.77,11071,0
307.79,11116,0
307.81,11065,0
307.83,11005,0
307.85,11009,0
307.87,10986,0
307.89,10966,0
307.91,10995,0
307.93,10967,0
307.95,10936,0
307.97,11014,0
307.99,11079,0
308.01,11067,0
308.03,11040,0
308.05,11023,0
308.07,11017,0
308.09,11016,0
308.11,11002,0
308.13,11018,0
308.15,10982,0
308.17,10935,0
308.19,11052,0
308.21,11055,0
