950,0
1675.61,11677,0
1675.63,11512,0
1675.65,10488,0
1675.67,11410,0
1675.69,10756,0
1675.71,9616,0
1675.73,10366,0
1675.75,10391,0
1675.77,9429,0
1675.78,11675,0
1675.80,11105,0
1675.82,9683,0
1675.84,10777,0
1675.86,9296,0
1675.88,11395,0
1675.90,10951,0
1675.92,9270,0
1675.94,10125,0
1675.96,10399,0
1675.98,9468,0
1676.00,9330,0
1676.02,11513,0
1676.04,9584,0
1676.06,10470,0
1676.08,11459,0
1676.10,10021,0
1676.12,10241,0
1676.14,10259,0
1676.16,9418,0
1676.18,11783,0
1676.20,9648,0
1676.22,11101,0
1676.24,10008,0
1676.26,11278,0
1676.28,11121,0
1676.30,10662,0
1676.32,9883,0
1676.34,11020,0
1676.36,8741,0
1676.38,11109,0
1676.40,9878,0
1676.42,11630,0
1676.44,9535,0
1676.46,11293,0
1676.48,10685,0
1676.50,11345,0
1676.52,10143,0
1676.54,10095,0
1676.56,9541,0
1676.58,10889,0
1676.60,8990,0
1676.62,12001,0
1676.64,12098,0
1676.66,11530,0
1676.68,8579,0
1676.70,11113,0
1676.72,9575,0
1676.74,10099,0
1676.76,12198,0
1676.78,10297,0
1676.80,10166,0
1676.82,9612,0
1676.84,10540,0
1676.86,10704,0
1676.88,10315,0
1676.89,11319,0
1676.91,8136,0
1676.93,13154,0
1676.95,10020,0
1676.97,10350,0
1676.99,10206,0
1677.01,10055,0
1677.03,9934,0
1677.05,11096,0
1677.07,10294,0
1677.09,10682,0
1677.11,10154,0
1677.13,11513,0
1677.15,10107,0
1677.17,11603,0
1677.19,9551,0
1677.21,10623,0
1677.23,10712,0
1677.25,9400,0
1677.27,11361,0
1677.29,8726,0
1677.31,10847,0
1677.33,11705,0
1677.35,9521,0
1677.37,10473,0
1677.39,9274,0
1677.41,11231,0
1677.43,9760,0
1677.45,11394,0
1677.47,10527,0
1677.49,10267,0
1677.51,10121,0
1677.53,9048,0
1677.55,11633,0
1677.57,10261,0
1677.59,10907,0
1677.61,12403,0
1677.63,9842,0
1677.65,11939,0
1677.67,9439,0
1677.69,10664,0
1677.71,11808,0
1677.73,10413,0
1677.75,10815,0
1677.77,9871,0
1677.79,9739,0
1677.81,10164,0
1677.83,10076,0
1677.85,11845,0
1677.87,10660,0
1677.89,10895,0
1677.91,10526,0
1677.93,10344,0
1677.95,10444,0
1677.97,9985,0
1677.98,11320,0
1678.00,10704,0
1678.02,11406,0
1678.04,12303,0
1678.06,9740,0
1678.08,9087,0
1678.10,11613,0
1678.12,10245,0
1678.14,10543,0
1678.16,10152,0
1678.18,12769,0
1678.20,9106,0
1678.22,11727,0
1678.24,9527,0
1678.26,10778,0
1678.28,10681,0
1678.30,10303,0
1678.32,11537,0
