""
93.90,9919,0
93.92,9900,0
93.94,9922,0
93.96,9913,0
93.98,9934,0
93.99,9929,0
94.01,9918,0
94.03,9919,0
94.05,9926,0
94.07,9926,0
94.09,9930,0
94.11,9913,0
94.13,9933,0
94.15,9934,0
94.17,9932,0
94.19,9943,0
94.21,9948,0
94.23,9932,0
94.25,9939,0
94.27,9926,0
94.29,9923,0
94.31,9945,0
94.33,9937,0
94.35,9941,0
94.37,9943,0
94.39,9928,0
94.41,9949,0
94.43,9946,0
94.45,9938,0
94.47,9936,0
94.49,9939,0
94.51,9957,0
94.53,9933,0
94.55,9943,0
94.57,9959,0
94.59,9934,0
94.61,9954,0
94.63,9941,0
94.65,9955,0
94.67,9955,0
94.69,9946,0
94.71,9959,0
94.73,9946,0
94.75,9953,0
94.77,9953,0
94.79,9950,0
94.81,9976,0
94.83,9948,0
94.85,9963,0
94.87,9941,0
94.89,9963,0
94.91,9936,0
94.93,9953,0
94.95,9941,0
94.97,9943,0
94.99,9938,0
95.01,9954,0
95.03,9938,0
95.05,9945,0
95.06,9962,0
95.08,9940,0
95.10,9958,0
95.12,9954,0
95.14,9951,0
95.16,9951,0
95.18,9938,0
95.20,9957,0
95.22,9939,0
95.24,9954,0
95.26,9953,0
95.28,9948,0
95.30,9964,0
95.32,9955,0
95.34,9960,0
95.36,9954,0
95.38,9961,0
95.40,9950,0
95.42,9969,0
95.44,9952,0
95.46,9970,0
95.48,9965,0
95.50,9961,0
95.52,9973,0
95.54,9950,0
95.56,9964,0
95.58,9956,0
95.60,9976,0
95.62,9967,0
95.64,9961,0
95.66,9968,0
95.68,9960,0
95.70,9968,0
95.72,9964,0
95.74,9972,0
95.76,9979,0
95.78,9964,0
95.80,9964,0
95.82,9981,0
95.84,9971,0
95.86,9985,0
95.88,9975,0
95.90,9969,0
95.92,9979,0
95.94,9972,0
95.96,9977,0
95.98,9985,0
96.00,9979,0
96.02,9979,0
96.04,9977,0
96.06,9962,0
96.08,9964,0
96.10,9961,0
96.12,9948,0
96.14,9964,0
96.16,9968,0
96.17,9972,0
96.19,9965,0
96.21,9963,0
96.23,9954,0
96.25,9971,0
96.27,9977,0
96.29,9975,0
96.31,9961,0
96.33,9970,0
96.35,9972,0
96.37,9970,0
96.39,9977,0
96.41,9968,0
96.43,9969,0
96.45,9966,0
96.47,9950,0
96.49,9975,0
96.51,9974,0
96.53,9970,0
96.55,9984,0
96.57,9998,0
96.59,9972,0
96.61,9981,0
96.63,9985,0
96.65,9972,0
96.67,9967,0
96.69,9984,0
96.71,9980,0
96.73,9984,0
96.75,9966,0
96.77,9972,0
96.79,9997,0
96.81,9983,0
96.83,9981,0
96.85,9988,0
96.87,9982,0
96.89,9977,0
96.91,9992,0
96.93,9980,0
96.95,9987,0
96.97,9992,0
96.99,9984,0
97.01,9994,0
97.03,9989,0
97.05,9984,0
97.07,9976,0
97.09,10001,0
97.11,9988,0
97.13,9989,0
97.15,10010,0
97.17,9979,0
97.19,9986,0
97.21,10000,0
97.23,9982,0
97.25,9982,0
97.27,9987,0
97.29,9973,0
97.30,9976,0
97.32,9976,0
97.34,9968,0
97.36,9971,0
97.38,9977,0
97.40,9976,0
97.42,9969,0
97.44,9992,0
97.46,9977,0
97.48,9982,0
97.50,9982,0
97.52,9989,0
97.54,9994,0
97.56,9981,0
97.58,9986,0
97.60,9976,0
97.62,9986,0
97.64,9985,0
97.66,9981,0
97.68,9986,0
97.70,9981,0
97.72,9989,0
97.74,9981,0
97.76,9981,0
97.78,9977,0
97.80,9996,0
97.82,9981,0
97.84,9996,0
97.86,9991,0
97.88,9994,0
97.90,9985,0
97.92,9984,0
97.94,9992,0
97.96,9984,0
97.98,9975,0
98.00,9990,0
98.02,9996,0
98.04,9993,0
98.06,9990,0
98.08,9994,0
98.10,9991,0
98.12,9989,0
98.14,9994,0
98.16,9990,0
98.18,10006,0
98.20,9987,0
98.22,10002,0
98.24,9986,0
98.26,10004,0
98.28,9995,0
98.30,10004,0
98.32,9994,0
98.34,10003,0
98.36,9994,0
98.38,10008,0
98.40,9993,0
98.41,9993,0
98.43,10000,0
98.45,9999,0
98.47,10005,0
98.49,9989,0
98.51,9991,0
98.53,9975,0
98.55,9982,0
98.57,9994,0
98.59,9978,0
98.61,9986,0
98.63,9984,0
98.65,9996,0
98.67,9985,0
98.69,9990,0
98.71,9994,0
98.73,9990,0
98.75,9994,0
98.77,9983,0
98.79,9982,0
98.81,9989,0
98.83,9979,0
98.85,9992,0
98.87,9979,0
98.89,9984,0
98.91,9986,0
98.93,9981,0
98.95,9994,0
98.97,9991,0
98.99,9991,0
99.01,9999,0
99.03,9988,0
99.05,9998,0
99.07,9985,0
99.09,9997,0
99.11,9988,0
99.13,9996,0
99.15,10009,0
99.17,9995,0
99.19,9998,0
99.21,10000,0
99.23,9999,0
99.25,10000,0
99.27,9998,0
99.29,9996,0
99.31,10016,0
99.33,10008,0
99.35,10015,0
99.37,10017,0
99.39,9999,0
99.41,9997,0
99.43,10002,0
99.45,9994,0
99.47,10013,0
99.49,10011,0
99.50,10009,0
99.52,10016,0
99.54,9994,0
99.56,9994,0
99.58,10005,0
99.60,10004,0
99.62,10006,0
99.64,10015,0
99.66,9995,0
99.68,9981,0
99.70,9986,0
99.72,9991,0
99.74,9978,0
99.76,9985,0
99.78,9968,0
99.80,9985,0
99.82,9990,0
99.84,9980,0
99.86,9985,0
99.88,9995,0
99.90,9961,0
99.92,9991,0
99.94,9990,0
99.96,9981,0
99.98,9992,0
100.00,9985,0
100.02,9973,0
