""
5.93,10543,0
5.95,10068,0
5.97,10281,0
5.98,10124,0
6.00,10110,0
6.02,10497,0
6.04,10395,0
6.06,10429,0
6.08,10223,0
6.10,10508,0
6.12,10368,0
6.14,10539,0
6.16,10513,0
6.18,10162,0
6.20,10481,0
6.22,10534,0
6.24,10353,0
6.26,10490,0
6.28,10579,0
6.30,10531,0
6.32,10520,0
6.34,10182,0
6.36,10488,0
6.38,10523,0
6.40,10438,0
6.42,10452,0
6.44,10170,0
6.46,10229,0
6.48,10307,0
6.50,10342,0
6.52,10141,0
6.54,10348,0
6.56,10621,0
6.58,10396,0
6.60,10243,0
6.62,10490,0
6.64,10418,0
6.66,10193,0
6.68,10395,0
6.70,10509,0
6.72,10633,0
6.74,10417,0
6.76,10140,0
6.78,10033,0
6.80,10228,0
6.82,10527,0
6.84,10091,0
6.86,10133,0
6.88,10196,0
6.90,10067,0
6.92,10455,0
6.94,10077,0
6.96,10115,0
6.98,10201,0
6.99,10189,0
7.01,10323,0
7.03,10195,0
7.05,10231,0
7.07,10573,0
7.09,10268,0
7.11,10229,0
7.13,10135,0
7.15,10359,0
7.17,10485,0
7.19,10297,0
7.21,10275,0
7.23,10533,0
7.25,10272,0
7.27,10259,0
7.29,10127,0
7.31,10294,0
7.33,10565,0
7.35,10435,0
7.37,10494,0
7.39,10111,0
7.41,10415,0
7.43,10459,0
7.45,10319,0
7.47,10415,0
7.49,10204,0
7.51,10506,0
7.53,10214,0
7.55,10344,0
7.57,9975,0
7.59,10051,0
7.61,10270,0
7.63,10113,0
7.65,10354,0
7.67,10216,0
7.69,10167,0
7.71,10587,0
7.73,10150,0
7.75,10158,0
7.77,10110,0
7.79,10246,0
7.81,10491,0
7.83,10334,0
7.85,10353,0
7.87,10101,0
7.89,10388,0
7.91,10468,0
7.93,10616,0
7.95,10134,0
7.97,10158,0
7.98,10062,0
8.00,9970,0
8.02,10608,0
8.04,10170,0
8.06,10127,0
8.08,10167,0
8.10,10272,0
8.12,10532,0
8.14,10280,0
8.16,10237,0
8.18,10108,0
8.20,10466,0
8.22,10517,0
8.24,10331,0
8.26,10501,0
8.28,10504,0
8.30,10431,0
8.32,10378,0
8.34,10051,0
8.36,10511,0
8.38,10485,0
8.40,10452,0
8.42,10432,0
8.44,10154,0
8.46,10243,0
8.48,10337,0
8.50,10377,0
8.52,10130,0
8.54,10249,0
8.56,10585,0
8.58,10296,0
8.60,10095,0
8.62,10450,0
8.64,10517,0
8.66,10201,0
8.68,10491,0
