starting,,,10 avg,3 avg
698758568,698.758568,8796,8804,8801
698778347,698.778347,8802,8803.6,8800.333333
698798126,698.798126,8797,8802.9,8798.333333
698818060,698.81806,8808,8802.6,8802.333333
698837839,698.837839,8799,8801.6,8801.333333
698857617,698.857617,8804,8801.9,8803.666667
698877393,698.877393,8811,8802.6,8804.666667
698897171,698.897171,8796,8802,8803.666667
698916948,698.916948,8799,8801.5,8802
698936725,698.936725,8796,8800.8,8797
698956504,698.956504,8795,8800.7,8796.666667
698976280,698.97628,8804,8800.9,8798.333333
698996058,698.996058,8802,8801.4,8800.333333
699015837,699.015837,8804,8801,8803.333333
699035613,699.035613,8810,8802.1,8805.333333
699055391,699.055391,8795,8801.2,8803
699075169,699.075169,8806,8800.7,8803.666667
699094945,699.094945,8805,8801.6,8802
699114723,699.114723,8805,8802.2,8805.333333
699134500,699.1345,8807,8803.3,8805.666667
699154277,699.154277,8807,8804.5,8806.333333
699174055,699.174055,8807,8804.8,8807
699193831,699.193831,8802,8804.8,8805.333333
699213610,699.21361,8801,8804.5,8803.333333
699233388,699.233388,8802,8803.7,8801.666667
699253163,699.253163,8807,8804.9,8803.333333
699272942,699.272942,8806,8804.9,8805
699292720,699.29272,8806,8805,8806.333333
699312495,699.312495,8797,8804.2,8803
699332275,699.332275,8801,8803.6,8801.333333
699352053,699.352053,8810,8803.9,8802.666667
699371987,699.371987,8803,8803.5,8804.666667
699391767,699.391767,8805,8803.8,8806
699411544,699.411544,8800,8803.7,8802.666667
699431320,699.43132,8806,8804.1,8803.666667
699451099,699.451099,8797,8803.1,8801
699470874,699.470874,8802,8802.7,8801.666667
699490652,699.490652,8810,8803.1,8803
699510432,699.510432,8799,8803.3,8803.666667
699530206,699.530206,8804,8803.6,8804.333333
699549985,699.549985,8799,8802.5,8800.666667
699569765,699.569765,8806,8802.8,8803
699589539,699.589539,8798,8802.1,8801
699609318,699.609318,8806,8802.7,8803.333333
699629097,699.629097,8800,8802.1,8801.333333
699648871,699.648871,8799,8802.3,8801.666667
699668650,699.66865,8802,8802.3,8800.333333
699688426,699.688426,8804,8801.7,8801.666667
699708203,699.708203,8815,8803.3,8807
699727982,699.727982,8807,8803.6,8808.666667
699747757,699.747757,8798,8803.5,8806.666667
699767536,699.767536,8805,8803.4,8803.333333
699787316,699.787316,8805,8804.1,8802.666667
699807090,699.80709,8809,8804.4,8806.333333
699826869,699.826869,8796,8804,8803.333333
699846647,699.846647,8804,8804.5,8803
699866424,699.866424,8804,8804.7,8801.333333
699886201,699.886201,8804,8804.7,8804
699905978,699.905978,8804,8803.6,8804
699925915,699.925915,8798,8802.7,8802
699945694,699.945694,8803,8803.2,8801.666667
699965471,699.965471,8801,8802.8,8800.666667
699985248,699.985248,8802,8802.5,8802
700005027,700.005027,8801,8801.7,8801.333333
700024803,700.024803,8808,8802.9,8803.666667
700044580,700.04458,8797,8802.2,8802
700064359,700.064359,8798,8801.6,8801
700084135,700.084135,8802,8801.4,8799
700103912,700.103912,8802,8801.2,8800.666667
700123691,700.123691,8798,8801.2,8800.666667
700143467,700.143467,8789,8799.8,8796.333333
700163245,700.163245,8793,8799,8793.333333
700183022,700.183022,8797,8798.5,8793
700202799,700.202799,8797,8798.1,8795.666667
700222577,700.222577,8800,8797.3,8798
700242353,700.242353,8797,8797.3,8798
700262131,700.262131,8803,8797.8,8800
700281910,700.28191,8802,8797.8,8800.666667
700301684,700.301684,8805,8798.1,8803.333333
700321464,700.321464,8807,8799,8804.666667
700341242,700.341242,8808,8800.9,8806.666667
700361017,700.361017,8806,8802.2,8807
700380797,700.380797,8799,8802.4,8804.333333
700400575,700.400575,8808,8803.5,8804.333333
700420350,700.42035,8804,8803.9,8803.666667
700440129,700.440129,8801,8804.3,8804.333333
700459905,700.459905,8807,8804.7,8804
700479681,700.479681,8802,8804.7,8803.333333
700499461,700.499461,8801,8804.3,8803.333333
700519395,700.519395,8803,8803.9,8802
700539173,700.539173,8799,8803,8801
700558953,700.558953,8802,8802.6,8801.333333
700578727,700.578727,8805,8803.2,8802
700598506,700.598506,8807,8803.1,8804.666667
700618286,700.618286,8802,8802.9,8804.666667
700638060,700.63806,8800,8802.8,8803
700657839,700.657839,8793,8801.4,8798.333333
700677617,700.677617,8795,8800.7,8796
700697393,700.697393,8798,8800.4,8795.333333
700717171,700.717171,8800,8800.1,8797.666667
700736948,700.736948,8801,8800.3,8799.666667
700756725,700.756725,8798,8799.9,8799.666667
700776504,700.776504,8804,8799.8,8801
700796280,700.79628,8800,8799.1,8800.666667
700816058,700.816058,8802,8799.1,8802
700835837,700.835837,8803,8799.4,8801.666667
700855613,700.855613,8802,8800.3,8802.333333
700875391,700.875391,8800,8800.8,8801.666667
700895169,700.895169,8807,8801.7,8803
700914945,700.914945,8801,8801.8,8802.666667
700934723,700.934723,8806,8802.3,8804.666667
700954500,700.9545,8802,8802.7,8803
700974277,700.974277,8808,8803.1,8805.333333
700994055,700.994055,8804,8803.5,8804.666667
701013831,701.013831,8803,8803.6,8805
701033610,701.03361,8806,8803.9,8804.333333
701053388,701.053388,8804,8804.1,8804.333333
701073163,701.073163,8805,8804.6,8805
701092942,701.092942,8805,8804.4,8804.666667
701112720,701.11272,8801,8804.4,8803.666667
701132495,701.132495,8798,8803.6,8801.333333
701152275,701.152275,8794,8802.8,8797.666667
701172053,701.172053,8802,8802.2,8798
701191987,701.191987,8799,8801.7,8798.333333
701211767,701.211767,8802,8801.6,8801
701231544,701.231544,8801,8801.1,8800.666667
701251320,701.25132,8803,8801,8802
701271099,701.271099,8802,8800.7,8802
701290874,701.290874,8798,8800,8801
701310652,701.310652,8799,8799.8,8799.666667
701330432,701.330432,8800,8800,8799
701350206,701.350206,8801,8800.7,8800
701369985,701.369985,8804,8800.9,8801.666667
701389765,701.389765,8801,8801.1,8802
701409539,701.409539,8803,8801.2,8802.666667
701429318,701.429318,8798,8800.9,8800.666667
701449097,701.449097,8801,8800.7,8800.666667
701468871,701.468871,8806,8801.1,8801.666667
701488650,701.48865,8799,8801.2,8802
701508426,701.508426,8803,8801.6,8802.666667
701528203,701.528203,8796,8801.2,8799.333333
701547982,701.547982,8808,8801.9,8802.333333
701567757,701.567757,8801,8801.6,8801.666667
701587536,701.587536,8801,8801.6,8803.333333
701607316,701.607316,8809,8802.2,8803.666667
701627090,701.62709,8801,8802.5,8803.666667
701646869,701.646869,8806,8803,8805.333333
701666647,701.666647,8804,8802.8,8803.666667
701686424,701.686424,8803,8803.2,8804.333333
701706201,701.706201,8807,8803.6,8804.666667
701725978,701.725978,8805,8804.5,8805
701745755,701.745755,8808,8804.5,8806.666667
701765534,701.765534,8804,8804.8,8805.666667
701785311,701.785311,8794,8804.1,8802
701805248,701.805248,8797,8802.9,8798.333333
701825027,701.825027,8801,8802.9,8797.333333
701844803,701.844803,8805,8802.8,8801
701864580,701.86458,8800,8802.4,8802
701884359,701.884359,8798,8801.9,8801
701904135,701.904135,8805,8801.7,8801
701923912,701.923912,8793,8800.5,8798.666667
701943691,701.943691,8792,8798.9,8796.666667
701963467,701.963467,8805,8799,8796.666667
701983245,701.983245,8794,8799,8797
702003022,702.003022,8805,8799.8,8801.333333
702022799,702.022799,8798,8799.5,8799
702042577,702.042577,8800,8799,8801
702062353,702.062353,8798,8798.8,8798.666667
702082131,702.082131,8799,8798.9,8799
702101910,702.10191,8800,8798.4,8799
702121684,702.121684,8798,8798.9,8799
702141464,702.141464,8804,8800.1,8800.666667
702161242,702.161242,8799,8799.5,8800.333333
702181017,702.181017,8799,8800,8800.666667
702200797,702.200797,8809,8800.4,8802.333333
702220575,702.220575,8806,8801.2,8804.666667
702240350,702.24035,8800,8801.2,8805
702260129,702.260129,8807,8802.1,8804.333333
702279905,702.279905,8803,8802.5,8803.333333
702299681,702.299681,8801,8802.6,8803.666667
702319461,702.319461,8807,8803.5,8803.666667
702339236,702.339236,8804,8803.5,8804
702359014,702.359014,8801,8803.7,8804
702378794,702.378794,8805,8804.3,8803.333333
702398727,702.398727,8801,8803.5,8802.333333
702418506,702.418506,8803,8803.2,8803
702438286,702.438286,8802,8803.4,8802
702458060,702.45806,8800,8802.7,8801.666667
702477839,702.477839,8803,8802.7,8801.666667
702497617,702.497617,8802,8802.8,8801.666667
702517393,702.517393,8794,8801.5,8799.666667
702537171,702.537171,8797,8800.8,8797.666667
702556948,702.556948,8798,8800.5,8796.333333
702576725,702.576725,8803,8800.3,8799.333333
702596504,702.596504,8802,8800.4,8801
702616280,702.61628,8802,8800.3,8802.333333
702636058,702.636058,8802,8800.3,8802
702655837,702.655837,8799,8800.2,8801
702675613,702.675613,8809,8800.8,8803.333333
702695391,702.695391,8801,8800.7,8803
702715169,702.715169,8801,8801.4,8803.666667
702734945,702.734945,8799,8801.6,8800.333333
702754723,702.754723,8802,8802,8800.666667
702774500,702.7745,8806,8802.3,8802.333333
702794277,702.794277,8803,8802.4,8803.666667
702814055,702.814055,8807,8802.9,8805.333333
702833831,702.833831,8801,8802.8,8803.666667
702853610,702.85361,8803,8803.2,8803.666667
702873388,702.873388,8806,8802.9,8803.333333
702893163,702.893163,8809,8803.7,8806
702912942,702.912942,8804,8804,8806.333333
702932720,702.93272,8800,8804.1,8804.333333
702952495,702.952495,8795,8803.4,8799.666667
702972275,702.972275,8798,8802.6,8797.666667
702992053,702.992053,8800,8802.3,8797.666667
703011828,703.011828,8805,8802.1,8801
703031607,703.031607,8803,8802.3,8802.666667
703051384,703.051384,8803,8802.3,8803.666667
