13707,0
187.69,14911,0
187.71,14911,0
187.73,14905,0
187.75,14913,0
187.77,14913,0
187.79,14909,0
187.81,14905,0
187.83,14902,0
187.85,14905,0
187.87,14906,0
187.89,14900,0
187.91,14899,0
187.93,14905,0
187.95,14901,0
187.97,14896,0
187.99,14902,0
188.01,14892,0
188.03,14888,0
188.05,14884,0
188.07,14870,0
188.09,14867,0
188.11,14872,0
188.13,14875,0
188.15,14871,0
188.17,14877,0
188.19,14878,0
188.21,14878,0
188.23,14872,0
188.25,14871,0
188.27,14867,0
188.29,14871,0
188.31,14867,0
188.33,14866,0
188.35,14864,0
188.37,14874,0
188.39,14870,0
188.40,14872,0
188.42,14874,0
188.44,14873,0
188.46,14887,0
188.48,14884,0
188.50,14880,0
188.52,14884,0
188.54,14892,0
188.56,14890,0
188.58,14891,0
188.60,14894,0
188.62,14899,0
188.64,14903,0
188.66,14905,0
188.68,14902,0
188.70,14901,0
188.72,14903,0
188.74,14909,0
188.76,14904,0
188.78,14911,0
188.80,14911,0
188.82,14915,0
188.84,14910,0
188.86,14916,0
188.88,14916,0
188.90,14912,0
188.92,14910,0
188.94,14911,0
188.96,14904,0
188.98,14897,0
189.00,14901,0
189.02,14893,0
189.04,14901,0
189.06,14912,0
189.08,14915,0
189.10,14919,0
189.12,14922,0
189.14,14921,0
189.16,14926,0
189.17,14919,0
189.19,14930,0
189.21,14934,0
189.23,14929,0
189.25,14932,0
189.27,14932,0
189.29,14942,0
189.31,14946,0
189.33,14949,0
189.35,14949,0
189.37,14956,0
189.39,14958,0
189.41,14962,0
189.43,14960,0
189.45,14959,0
189.47,14964,0
189.49,14963,0
189.51,14973,0
189.53,14968,0
189.55,14971,0
189.57,14975,0
189.59,14972,0
189.61,14980,0
189.63,14976,0
189.65,14987,0
189.67,14986,0
189.69,14981,0
189.71,14987,0
189.73,14989,0
189.75,14985,0
189.77,14990,0
189.79,14997,0
189.81,14993,0
189.83,14990,0
189.85,14994,0
189.87,14996,0
189.89,15000,0
189.91,14998,0
189.93,14999,0
189.94,14994,0
189.96,14999,0
189.98,15000,0
190.00,15009,0
190.02,15006,0
190.04,15010,0
190.06,15014,0
190.08,15008,0
190.10,15010,0
190.12,15011,0
190.14,15011,0
190.16,15014,0
190.18,15010,0
190.20,15018,0
190.22,15011,0
190.24,15012,0
190.26,15022,0
