,0
40.26,11026,0
40.28,11015,0
40.30,10999,0
40.32,10997,0
40.34,10984,0
40.36,10984,0
40.38,10975,0
40.40,10963,0
40.42,10964,0
40.44,10966,0
40.46,10961,0
40.48,10966,0
40.50,10984,0
40.52,10978,0
40.54,10987,0
40.56,11003,0
40.58,10998,0
40.60,10998,0
40.62,10996,0
40.64,10992,0
40.66,10996,0
40.68,10980,0
40.70,10973,0
40.72,10991,0
40.74,10972,0
40.76,10976,0
40.78,10979,0
40.80,10984,0
40.82,11002,0
40.84,10985,0
40.86,10990,0
40.88,10998,0
40.90,10998,0
40.92,10998,0
40.94,10990,0
40.96,10988,0
40.98,11004,0
41.00,10981,0
41.01,10980,0
41.03,11000,0
41.05,10973,0
41.07,10970,0
41.09,10990,0
41.11,10971,0
41.13,10973,0
41.15,10992,0
41.17,10983,0
41.19,10973,0
41.21,10969,0
41.23,10985,0
41.25,10976,0
41.27,10989,0
41.29,10993,0
41.31,10982,0
41.33,10982,0
41.35,10990,0
41.37,10989,0
41.39,10991,0
41.41,10991,0
41.43,10985,0
41.45,10983,0
41.47,10976,0
41.49,10969,0
41.51,10968,0
41.53,10962,0
41.55,10976,0
41.57,10950,0
41.59,10967,0
41.61,10972,0
41.63,10968,0
41.65,10975,0
41.67,10973,0
41.69,10982,0
41.71,10968,0
41.73,10965,0
41.75,10966,0
41.77,10964,0
41.79,10955,0
41.81,10953,0
41.83,10961,0
41.85,10952,0
41.87,10948,0
41.89,10958,0
41.91,10950,0
41.93,10965,0
41.95,10972,0
41.96,10969,0
41.98,10952,0
42.00,10974,0
42.02,10979,0
42.04,10968,0
42.06,10985,0
42.08,11000,0
42.10,10982,0
42.12,11000,0
42.14,11001,0
42.16,10970,0
42.18,10964,0
42.20,10981,0
42.22,10961,0
42.24,10958,0
42.26,10964,0
42.28,10956,0
42.30,10958,0
42.32,10979,0
42.34,10975,0
42.36,10947,0
42.38,10966,0
42.40,10944,0
42.42,10939,0
42.44,10940,0
42.46,10948,0
42.48,10934,0
42.50,10935,0
42.52,10956,0
42.54,10939,0
42.56,10938,0
42.58,10962,0
42.60,10938,0
42.62,10932,0
42.64,10947,0
42.66,10947,0
42.68,10930,0
42.70,10956,0
42.72,10944,0
42.74,10943,0
42.76,10950,0
42.78,10952,0
42.80,10955,0
42.82,10957,0
42.84,10957,0
42.86,10965,0
42.88,10973,0
42.89,10945,0
42.91,10962,0
42.93,10932,0
42.95,10926,0
42.97,10922,0
42.99,10922,0
43.01,10922,0
43.03,10948,0
43.05,10919,0
43.07,10939,0
43.09,10920,0
43.11,10912,0
43.13,10913,0
43.15,10923,0
43.17,10916,0
43.19,10913,0
43.21,10934,0
43.23,10909,0
43.25,10912,0
43.27,10942,0
43.29,10926,0
43.31,10934,0
43.33,10954,0
43.35,10954,0
43.37,10939,0
43.39,10952,0
43.41,10937,0
43.43,10927,0
43.45,10930,0
43.47,10927,0
43.49,10922,0
43.51,10932,0
43.53,10915,0
43.55,10932,0
43.57,10933,0
43.59,10909,0
43.61,10923,0
43.63,10922,0
43.65,10906,0
43.67,10914,0
43.69,10915,0
43.71,10918,0
43.73,10906,0
43.75,10914,0
43.77,10914,0
43.79,10919,0
43.81,10931,0
43.83,10928,0
43.84,10925,0
43.86,10925,0
43.88,10937,0
43.90,10913,0
43.92,10930,0
43.94,10927,0
43.96,10896,0
43.98,10892,0
44.00,10905,0
44.02,10892,0
44.04,10886,0
44.06,10900,0
44.08,10879,0
44.10,10884,0
44.12,10895,0
44.14,10880,0
44.16,10865,0
44.18,10881,0
44.20,10891,0
44.22,10872,0
44.24,10892,0
44.26,10883,0
44.28,10881,0
44.30,10888,0
44.32,10912,0
44.34,10890,0
44.36,10888,0
44.38,10910,0
44.40,10890,0
44.42,10888,0
44.44,10908,0
44.46,10884,0
44.48,10887,0
44.50,10896,0
44.52,10913,0
44.54,10890,0
44.56,10916,0
44.58,10906,0
44.60,10890,0
44.62,10894,0
44.64,10895,0
44.66,10888,0
44.68,10886,0
44.70,10894,0
44.72,10897,0
44.74,10912,0
44.76,10902,0
44.77,10918,0
44.79,10928,0
44.81,10924,0
44.83,10922,0
44.85,10922,0
44.87,10918,0
44.89,10905,0
44.91,10903,0
44.93,10905,0
44.95,10906,0
44.97,10915,0
44.99,10918,0
45.01,10912,0
45.03,10918,0
45.05,10927,0
