836,0
14.89,9800,0
14.91,9798,0
14.93,9800,0
14.95,9797,0
14.97,9795,0
14.99,9797,0
15.01,9793,0
15.03,9799,0
15.05,9792,0
15.07,9793,0
15.09,9792,0
15.11,9795,0
15.13,9788,0
15.15,9789,0
15.17,9789,0
15.19,9791,0
15.21,9791,0
15.23,9794,0
15.25,9786,0
15.27,9789,0
15.29,9788,0
15.31,9792,0
15.33,9792,0
15.35,9786,0
15.37,9792,0
15.39,9789,0
15.40,9793,0
15.42,9794,0
15.44,9792,0
15.46,9793,0
15.48,9793,0
15.50,9793,0
15.52,9794,0
15.54,9794,0
15.56,9797,0
15.58,9798,0
15.60,9792,0
15.62,9796,0
15.64,9797,0
15.66,9796,0
15.68,9795,0
15.70,9798,0
15.72,9798,0
15.74,9798,0
15.76,9797,0
15.78,9798,0
15.80,9795,0
15.82,9795,0
15.84,9797,0
15.86,9797,0
15.88,9799,0
15.90,9799,0
15.92,9803,0
15.94,9799,0
15.96,9800,0
15.98,9800,0
16.00,9800,0
16.02,9799,0
16.04,9804,0
16.06,9801,0
16.08,9800,0
16.10,9800,0
16.12,9802,0
16.14,9804,0
16.16,9804,0
16.18,9800,0
16.20,9799,0
16.22,9798,0
16.24,9796,0
16.26,9797,0
16.28,9793,0
16.30,9792,0
16.32,9790,0
16.34,9793,0
16.36,9793,0
16.38,9794,0
16.40,9790,0
16.42,9791,0
16.43,9790,0
16.45,9790,0
16.47,9787,0
16.49,9785,0
16.51,9787,0
16.53,9786,0
16.55,9786,0
16.57,9786,0
16.59,9790,0
16.61,9788,0
16.63,9788,0
16.65,9786,0
16.67,9789,0
16.69,9787,0
16.71,9787,0
16.73,9792,0
16.75,9791,0
16.77,9791,0
16.79,9788,0
16.81,9790,0
16.83,9791,0
16.85,9787,0
16.87,9788,0
16.89,9790,0
16.91,9788,0
16.93,9790,0
16.95,9795,0
16.97,9793,0
16.99,9791,0
17.01,9792,0
17.03,9788,0
17.05,9787,0
17.07,9789,0
17.09,9791,0
17.11,9792,0
17.13,9787,0
17.15,9790,0
17.17,9790,0
17.19,9785,0
17.21,9787,0
17.23,9788,0
17.25,9793,0
17.27,9798,0
17.29,9788,0
17.31,9789,0
17.33,9789,0
17.35,9786,0
17.37,9786,0
17.39,9783,0
17.41,9784,0
17.43,9784,0
17.45,9785,0
17.46,9785,0
