,0
20.75,16383,0
20.77,16383,0
20.79,16383,0
20.81,16383,0
20.83,16383,0
20.85,16383,0
20.87,16383,0
20.89,16383,0
20.91,16383,0
20.93,16383,0
20.95,16383,0
20.97,16383,0
20.99,16383,0
21.01,16383,0
21.03,16383,0
21.05,16383,0
21.07,16383,0
21.09,16383,0
21.11,16383,0
21.13,16383,0
21.15,16383,0
21.17,16383,0
21.19,16383,0
21.21,16383,0
21.23,16383,0
21.25,16383,0
21.27,16383,0
21.29,16383,0
21.31,16383,0
21.33,16383,0
21.35,16383,0
21.37,16383,0
21.39,16383,0
21.41,16383,0
21.43,16383,0
21.45,16383,0
21.47,16383,0
21.49,16383,0
21.50,16383,0
21.52,16383,0
21.54,16383,0
21.56,16383,0
21.58,16383,0
21.60,16383,0
21.62,16383,0
21.64,16383,0
21.66,16383,0
21.68,16383,0
21.70,16383,0
21.72,16383,0
21.74,16383,0
21.76,16383,0
21.78,16383,0
21.80,16383,0
21.82,16383,0
21.84,16383,0
21.86,16383,0
21.88,16383,0
21.90,16383,0
21.92,16383,0
21.94,16383,0
21.96,16383,0
21.98,16383,0
22.00,16383,0
22.02,16383,0
22.04,16383,0
22.06,16383,0
22.08,16383,0
22.10,16383,0
22.12,16383,0
22.14,16383,0
22.16,16383,0
22.18,16383,0
22.20,16383,0
22.22,16383,0
22.24,16383,0
22.26,16383,0
22.28,16383,0
22.30,16383,0
22.32,16383,0
22.34,16383,0
22.36,16383,0
22.37,16383,0
22.39,16383,0
22.41,16383,0
22.43,16383,0
22.45,16383,0
22.47,16383,0
22.49,16383,0
22.51,16383,0
22.53,16383,0
22.55,16383,0
22.57,16383,0
22.59,16383,0
22.61,16383,0
22.63,16383,0
22.65,16383,0
22.67,16383,0
22.69,16383,0
22.71,16383,0
22.73,16383,0
22.75,16383,0
22.77,16383,0
22.79,16383,0
22.81,16383,0
22.83,16383,0
22.85,16383,0
22.87,16383,0
22.89,16383,0
22.91,16383,0
22.93,16383,0
22.95,16383,0
22.97,16383,0
22.99,16383,0
23.01,16383,0
23.03,16383,0
23.05,16383,0
23.07,16383,0
23.09,16383,0
23.11,16383,0
23.13,16383,0
23.15,16383,0
23.17,16383,0
23.19,16383,0
23.21,16383,0
23.22,16383,0
23.24,16383,0
23.26,16383,0
23.28,16383,0
23.30,16383,0
23.32,16383,0
23.34,16383,0
23.36,16383,0
23.38,16383,0
23.40,16383,0
23.42,16383,0
23.44,16383,0
23.46,16383,0
23.48,16383,0
23.50,16383,0
23.52,16383,0
23.54,16383,0
23.56,16383,0
23.58,16383,0
23.60,16383,0
23.62,16383,0
23.64,16383,0
23.66,16383,0
23.68,16383,0
23.70,16383,0
23.72,16383,0
23.74,16383,0
23.76,16383,0
23.78,16383,0
23.80,16383,0
23.82,16383,0
23.84,16383,0
23.86,16383,0
23.88,16383,0
23.90,16383,0
23.92,16383,0
23.94,16383,0
23.96,16383,0
23.98,16383,0
24.00,16383,0
24.02,16383,0
24.04,16383,0
24.06,16383,0
24.07,16383,0
24.09,16383,0
24.11,16383,0
24.13,16383,0
24.15,16383,0
24.17,16383,0
24.19,16383,0
24.21,16383,0
