x0000,y0000
1.67,13023.
1.68,13183.
1.7,13157.
1.72,13169.
1.74,13232.
1.76,13273.
1.78,13277.
1.8,13265.
1.82,13235.
1.84,13236.
1.86,13274.
1.88,13288.
1.9,13300.
1.92,13286.
1.94,13308.
1.96,13348.
1.98,13351.
2.,13346.
2.02,13355.
2.03,13396.
2.05,13434.
2.07,13439.
2.09,13467.
2.11,13471.
2.13,13496.
2.15,13537.
2.17,13562.
2.19,13554.
2.21,13553.
2.23,13557.
2.25,13598.
2.27,13633.
2.29,13650.
2.31,13624.
2.33,13631.
2.35,13632.
2.37,13678.
2.39,13680.
2.41,13589.
2.43,13458.
2.45,13390.
2.47,13338.
2.49,13326.
2.51,13258.
2.53,13230.
2.55,13203.
2.57,13237.
2.59,13276.
2.61,13259.
2.63,13271.
2.65,13241.
2.67,13271.
2.69,13298.
2.71,13326.
2.73,13340.
2.75,13340.
2.77,13351.
2.79,13367.
2.81,13367.
2.83,13387.
2.85,13362.
2.87,13375.
2.89,13402.
2.91,13432.
2.93,13462.
2.95,13478.
2.97,13492.
2.99,13534.
3.01,13591.
3.03,13572.
3.04,13582.
3.06,13570.
3.08,13620.
3.1,13651.
3.12,13679.
3.14,13698.
3.16,13659.
3.18,13646.
3.2,13676.
3.22,13728.
3.24,13780.
3.26,13749.
3.28,13727.
3.3,13762.
3.32,13766.
3.34,13730.
3.36,13598.
3.38,13484.
3.4,13411.
3.42,13382.
3.44,13379.
3.46,13371.
3.48,13336.
3.5,13302.
3.52,13321.
3.54,13336.
3.56,13366.
3.58,13387.
3.6,13373.
3.62,13382.
3.64,13404.
3.66,13449.
3.68,13434.
3.7,13422.
3.72,13399.
3.74,13429.
3.76,13438.
3.78,13456.
3.8,13469.
3.82,13478.
3.84,13488.
3.86,13512.
3.88,13545.
3.9,13558.
3.92,13548.
3.94,13580.
3.96,13626.
3.98,13640.
4.,13626.
4.02,13615.
4.03,13629.
4.05,13660.
4.07,13704.
4.09,13712.
4.11,13713.
4.13,13714.
4.15,13742.
4.17,13748.
4.19,13757.
4.21,13763.
4.23,13768.
4.25,13726.
4.27,13647.
4.29,13559.
4.31,13489.
4.33,13392.
4.35,13375.
4.37,13377.
4.39,13352.
4.41,13366.
4.43,13336.
4.45,13353.
4.47,13363.
4.49,13375.
4.51,13388.
4.53,13375.
4.55,13395.
4.57,13424.
4.59,13468.
4.61,13439.
4.63,13388.
4.65,13398.
4.67,13404.
4.69,13454.
4.71,13454.
4.73,13451.
4.75,13435.
4.77,13454.
4.79,13479.
4.81,13524.
4.83,13556.
4.85,13554.
4.87,13547.
4.89,13578.
4.91,13584.
4.93,13603.
4.95,13576.
4.97,13614.
4.99,13648.
5.01,13668.
5.03,13669.
5.04,13650.
5.06,13652.
5.08,13674.
5.1,13697.
5.12,13646.
5.14,13564.
5.16,13469.
5.18,13377.
5.2,13336.
5.22,13315.
5.24,13297.
5.26,13257.
5.28,13225.
5.3,13226.
5.32,13275.
5.34,13281.
5.36,13282.
5.38,13303.
5.4,13326.
5.42,13350.
5.44,13354.
5.46,13339.
5.48,13332.
5.5,13323.
5.52,13365.
5.54,13380.
5.56,13395.
5.58,13344.
5.6,13354.
5.62,13400.
5.64,13466.
5.66,13439.
5.68,13445.
5.7,13458.
5.72,13476.
5.74,13496.
5.76,13519.
5.78,13552.
5.8,13532.
5.82,13535.
5.84,13548.
5.86,13578.
5.88,13597.
5.9,13599.
5.92,13612.
5.94,13620.
5.96,13637.
5.98,13647.
6.,13643.
6.02,13574.
6.04,13484.
6.06,13428.
6.07,13355.
6.09,13278.
6.11,13182.
6.13,13214.
6.15,13209.
6.17,13233.
6.19,13169.
6.21,13174.
6.23,13176.
6.25,13231.
6.27,13238.
6.29,13232.
6.31,13250.
6.33,13258.
6.35,13245.
6.37,13263.
6.39,13300.
6.41,13293.
6.43,13268.
6.45,13266.
6.47,13335.
6.49,13362.
6.51,13354.
6.53,13311.
6.55,13342.
6.57,13396.
6.59,13394.
6.61,13403.
6.63,13390.
6.65,13423.
6.67,13456.
6.69,13458.
6.71,13473.
6.73,13509.
6.75,13478.
6.77,13473.
6.79,13542.
6.81,13566.
6.83,13539.
6.85,13512.
6.87,13565.
6.89,13586.
6.91,13562.
6.93,13466.
6.95,13390.
6.97,13301.
6.99,13240.
7.01,13189.
7.03,13175.
7.05,13170.
7.07,13157.
7.08,13156.
7.1,13166.
7.12,13187.
7.14,13180.
7.16,13188.
7.18,13197.
7.2,13232.
7.22,13216.
