x0000,y0000
60.52,14968.
60.54,14956.
60.56,14957.
60.58,15000.
60.6,15005.
60.62,14996.
60.64,15011.
60.66,15006.
60.68,15022.
60.7,15030.
60.72,14999.
60.74,14981.
60.76,15000.
60.78,15005.
60.8,15026.
60.82,15032.
60.84,15006.
60.86,14976.
60.88,14957.
60.89,14933.
60.91,14897.
60.93,14843.
60.95,14785.
60.97,14740.
60.99,14726.
61.01,14701.
61.03,14704.
61.05,14672.
61.07,14648.
61.09,14620.
61.11,14633.
61.13,14642.
61.15,14625.
61.17,14597.
61.19,14582.
61.21,14614.
61.23,14618.
61.25,14600.
61.27,14583.
61.29,14562.
61.31,14577.
61.33,14592.
61.35,14596.
61.37,14605.
61.39,14590.
61.41,14593.
61.43,14604.
61.45,14626.
61.47,14633.
61.49,14592.
61.51,14604.
61.53,14631.
61.55,14654.
61.57,14678.
61.59,14641.
61.61,14647.
61.63,14684.
61.65,14713.
61.67,14706.
61.69,14685.
61.71,14677.
61.73,14716.
61.75,14717.
61.77,14728.
61.79,14720.
61.81,14715.
61.83,14735.
61.85,14732.
61.87,14697.
61.89,14678.
61.91,14618.
61.93,14582.
61.95,14539.
61.96,14502.
61.98,14481.
62.,14452.
62.02,14444.
62.04,14441.
62.06,14420.
62.08,14410.
62.1,14384.
62.12,14389.
62.14,14418.
62.16,14421.
62.18,14413.
62.2,14382.
62.22,14370.
62.24,14376.
62.26,14383.
62.28,14398.
62.3,14420.
62.32,14414.
62.34,14403.
62.36,14429.
62.38,14446.
62.4,14463.
62.42,14434.
62.44,14430.
62.46,14469.
62.48,14486.
62.5,14516.
62.52,14490.
62.54,14522.
62.56,14523.
62.58,14523.
62.6,14522.
62.62,14522.
62.64,14541.
62.66,14573.
62.68,14581.
62.7,14594.
62.72,14595.
62.74,14578.
62.76,14592.
62.78,14604.
62.8,14615.
62.82,14625.
62.84,14620.
62.86,14631.
62.88,14624.
62.9,14589.
62.92,14530.
62.94,14475.
62.96,14417.
62.98,14425.
63.,14424.
63.01,14409.
63.03,14400.
63.05,14368.
63.07,14346.
63.09,14364.
63.11,14361.
63.13,14374.
63.15,14376.
63.17,14381.
63.19,14403.
63.21,14387.
63.23,14370.
63.25,14366.
63.27,14385.
63.29,14395.
63.31,14373.
63.33,14407.
