x0000,y0000
2.,0.
2.39,13120.
2.41,13137.
2.43,13125.
2.45,13132.
2.47,13144.
2.49,13138.
2.51,13136.
2.53,13178.
2.55,13198.
2.57,13165.
2.59,13135.
2.61,13205.
2.63,13208.
2.65,13235.
2.67,13250.
2.69,13220.
2.71,13214.
2.73,13264.
2.75,13300.
2.77,13304.
2.79,13271.
2.81,13276.
2.83,13315.
2.85,13340.
2.87,13317.
2.89,13229.
2.91,13165.
2.93,13138.
2.95,13117.
2.97,13093.
2.99,13036.
3.,12992.
3.02,12990.
3.04,12992.
3.06,12989.
3.08,12981.
3.1,12988.
3.12,12966.
3.14,12989.
3.16,12975.
3.18,12972.
3.2,13002.
3.22,12987.
3.24,13021.
3.26,13030.
3.28,13022.
3.3,12998.
3.32,12994.
3.34,13012.
3.36,13078.
3.38,13100.
3.4,13090.
3.42,13046.
3.44,13059.
3.46,13084.
3.48,13087.
3.5,13112.
3.52,13114.
3.54,13130.
3.56,13165.
3.58,13177.
3.6,13157.
3.62,13146.
3.64,13170.
3.66,13203.
3.68,13218.
3.7,13233.
3.72,13217.
3.74,13198.
3.76,13182.
3.78,13227.
3.8,13249.
3.82,13246.
3.84,13189.
3.86,13136.
3.88,13051.
3.9,13036.
3.92,12999.
3.94,12955.
3.96,12897.
3.98,12896.
4.,12912.
4.01,12949.
4.03,12920.
4.05,12905.
4.07,12919.
4.09,12898.
4.11,12924.
4.13,12910.
4.15,12901.
4.17,12927.
4.19,12932.
4.21,12921.
4.23,12907.
4.25,12908.
4.27,12900.
4.29,12928.
4.31,12957.
4.33,12992.
4.35,12963.
4.37,12968.
4.39,12966.
4.41,12968.
4.43,12990.
4.45,13006.
4.47,13009.
4.49,12980.
4.51,13016.
4.53,13004.
4.55,13055.
4.57,13037.
4.59,13045.
4.61,13077.
4.63,13076.
4.65,13072.
4.67,13072.
4.69,13090.
4.71,13134.
4.73,13155.
4.75,13152.
4.77,13134.
4.79,13130.
4.81,13113.
4.83,13080.
4.85,13026.
4.87,12957.
4.89,12908.
4.91,12864.
4.93,12863.
4.95,12866.
4.97,12832.
4.99,12814.
5.,12804.
5.02,12841.
5.04,12863.
5.06,12868.
5.08,12823.
5.1,12821.
5.12,12825.
5.14,12849.
5.16,12882.
5.18,12839.
5.2,12792.
5.22,12829.
5.24,12824.
5.26,12864.
5.28,12895.
5.3,12871.
5.32,12864.
5.34,12886.
5.36,12944.
5.38,12976.
5.4,12951.
5.42,12938.
5.44,12939.
5.46,12976.
5.48,12968.
5.5,12988.
5.52,12977.
5.54,12998.
5.56,13024.
5.58,13030.
5.6,13025.
5.62,12984.
5.64,12997.
5.66,13028.
5.68,13060.
5.7,13098.
5.72,13081.
5.74,13084.
5.76,13064.
5.78,13056.
5.8,13014.
5.82,12954.
5.84,12902.
5.86,12855.
5.88,12852.
5.9,12805.
5.92,12794.
5.94,12766.
5.96,12790.
5.98,12809.
6.,12818.
6.01,12801.
6.03,12791.
6.05,12786.
6.07,12822.
6.09,12866.
6.11,12869.
6.13,12845.
6.15,12842.
6.17,12837.
6.19,12877.
6.21,12878.
6.23,12867.
6.25,12840.
6.27,12854.
6.29,12868.
6.31,12899.
6.33,12921.
6.35,12914.
6.37,12925.
6.39,12937.
6.41,12934.
6.43,12956.
6.45,12956.
6.47,12931.
6.49,12949.
6.51,12982.
6.53,12989.
6.55,12990.
6.57,12968.
6.59,12974.
6.61,13024.
6.63,13015.
6.65,13042.
6.67,13025.
6.69,13030.
6.71,13012.
6.73,12978.
6.75,12925.
6.77,12860.
6.79,12800.
6.81,12796.
6.83,12798.
6.85,12771.
6.87,12741.
6.89,12730.
6.91,12729.
6.93,12741.
6.95,12764.
6.97,12753.
6.99,12733.
7.01,12746.
7.02,12765.
7.04,12773.
7.06,12774.
7.08,12756.
7.1,12740.
7.12,12767.
7.14,12769.
7.16,12783.
7.18,12797.
7.2,12793.
7.22,12816.
7.24,12864.
7.26,12874.
7.28,12876.
7.3,12867.
7.32,12887.
7.34,12893.
7.36,12923.
7.38,12921.
7.4,12901.
7.42,12919.
7.44,12968.
7.46,12994.
7.48,12996.
7.5,12988.
7.52,12946.
7.54,12955.
7.56,13011.
7.58,13026.
7.6,13042.
7.62,13026.
7.64,13015.
7.66,12988.
7.68,12944.
7.7,12854.
7.72,12785.
7.74,12743.
7.76,12747.
7.78,12754.
7.8,12750.
7.82,12718.
7.84,12697.
7.86,12696.
7.88,12706.
7.9,12717.
7.92,12739.
7.94,12736.
7.96,12742.
7.98,12766.
8.,12797.
8.01,12772.
8.03,12752.
8.05,12754.
8.07,12773.
8.09,12797.
8.11,12806.
8.13,12791.
8.15,12796.
8.17,12784.
8.19,12824.
8.21,12811.
8.23,12807.
8.25,12795.
8.27,12804.
8.29,12842.
8.31,12862.
8.33,12870.
8.35,12861.
8.37,12866.
8.39,12903.
8.41,12911.
8.43,12925.
8.45,12924.
8.47,12910.
8.49,12917.
8.51,12940.
8.53,12939.
8.55,12943.
8.57,12934.
8.59,12930.
8.61,12931.
8.63,12876.
8.65,12800.
8.67,12734.
8.69,12676.
8.71,12654.
8.73,12644.
8.75,12607.
8.77,12574.
8.79,12565.
8.81,12571.
8.83,12576.
8.85,12580.
8.87,12588.
8.89,12590.
8.91,12623.
8.93,12650.
8.95,12654.
8.97,12656.
8.99,12645.
9.01,12658.
9.02,12671.
9.04,12684.
9.06,12697.
9.08,12682.
9.1,12687.
9.12,12693.
9.14,12710.
9.16,12727.
9.18,12748.
9.2,12758.
9.22,12775.
9.24,12777.
9.26,12789.
9.28,12783.
9.3,12781.
9.32,12788.
9.34,12810.
9.36,12818.
9.38,12833.
9.4,12851.
9.42,12860.
9.44,12852.
9.46,12874.
9.48,12888.
9.5,12884.
9.52,12878.
9.54,12915.
9.56,12922.
9.58,12889.
9.6,12831.
9.62,12764.
9.64,12732.
9.66,12698.
9.68,12669.
9.7,12670.
9.72,12659.
9.74,12636.
9.76,12641.
9.78,12659.
9.8,12652.
9.82,12635.
9.84,12657.
9.86,12680.
9.88,12691.
9.9,12704.
9.92,12692.
9.94,12677.
