x0000,y0000
86.19,13817.
86.21,13815.
86.23,13839.
86.25,13841.
86.27,13849.
86.29,13853.
86.31,13872.
86.33,13884.
86.35,13901.
86.37,13904.
86.39,13926.
86.41,13934.
86.43,13943.
86.45,13948.
86.47,13962.
86.49,13968.
86.51,13984.
86.53,14002.
86.55,13990.
86.57,14010.
86.59,14029.
86.61,14027.
86.63,14030.
86.65,14038.
86.67,14047.
86.69,14066.
86.71,14080.
86.73,14070.
86.75,14079.
86.77,14114.
86.79,14112.
86.81,14119.
86.83,14103.
86.85,14068.
86.87,13991.
86.89,13942.
86.91,13872.
86.93,13835.
86.95,13804.
86.97,13783.
86.99,13779.
87.01,13775.
87.03,13761.
87.05,13776.
87.07,13766.
87.08,13759.
87.1,13780.
87.12,13771.
87.14,13780.
87.16,13784.
87.18,13779.
87.2,13798.
87.22,13796.
87.24,13799.
87.26,13785.
87.28,13806.
87.3,13817.
87.32,13847.
87.34,13830.
87.36,13865.
87.38,13867.
87.4,13885.
87.42,13893.
87.44,13908.
87.46,13896.
87.48,13922.
87.5,13933.
87.52,13949.
87.54,13974.
87.56,13971.
87.58,13994.
87.6,13992.
87.62,14012.
87.64,14022.
87.66,14030.
87.68,14049.
87.7,14050.
87.72,14062.
87.74,14074.
87.76,14094.
87.78,14108.
87.8,14125.
87.82,14116.
87.84,14113.
87.86,14081.
87.88,14024.
87.9,13964.
87.92,13898.
87.94,13848.
87.96,13812.
87.98,13800.
88.,13767.
88.02,13773.
88.04,13765.
88.06,13763.
88.08,13773.
88.1,13770.
88.12,13771.
88.13,13773.
88.15,13780.
88.17,13788.
88.19,13798.
88.21,13798.
88.23,13804.
88.25,13814.
88.27,13819.
88.29,13834.
88.31,13825.
88.33,13835.
88.35,13836.
88.37,13852.
88.39,13867.
88.41,13871.
88.43,13887.
88.45,13922.
88.47,13924.
88.49,13941.
88.51,13936.
88.53,13946.
88.55,13959.
88.57,13972.
88.59,13983.
88.61,13998.
88.63,13994.
88.65,14014.
88.67,14022.
88.69,14041.
88.71,14067.
88.73,14059.
88.75,14079.
88.77,14093.
88.79,14104.
88.81,14111.
88.83,14125.
88.85,14143.
88.87,14123.
88.89,14090.
88.91,14027.
88.93,13967.
88.95,13912.
88.97,13880.
88.99,13842.
89.01,13848.
89.03,13837.
89.05,13827.
89.07,13815.
89.09,13817.
89.11,13817.
89.13,13813.
89.15,13826.
89.16,13830.
89.18,13836.
89.2,13837.
89.22,13818.
89.24,13816.
89.26,13827.
89.28,13825.
89.3,13812.
89.32,13840.
89.34,13837.
89.36,13837.
89.38,13860.
89.4,13882.
89.42,13885.
89.44,13888.
89.46,13901.
89.48,13900.
89.5,13913.
89.52,13917.
89.54,13938.
89.56,13966.
89.58,13983.
89.6,13989.
89.62,14003.
89.64,14007.
89.66,14007.
89.68,14011.
89.7,14024.
89.72,14025.
89.74,14036.
89.76,14041.
89.78,14055.
89.8,14055.
89.82,14014.
89.84,13974.
89.86,13893.
89.88,13840.
89.9,13785.
89.92,13752.
89.94,13730.
89.96,13707.
89.98,13713.
90.,13685.
90.02,13704.
90.04,13697.
90.06,13689.
90.08,13705.
90.1,13680.
90.12,13689.
90.14,13700.
90.16,13684.
90.18,13708.
90.19,13689.
90.21,13687.
90.23,13686.
90.25,13691.
90.27,13723.
90.29,13715.
90.31,13733.
90.33,13708.
90.35,13755.
90.37,13758.
90.39,13759.
90.41,13794.
90.43,13781.
90.45,13787.
90.47,13808.
90.49,13805.
90.51,13819.
90.53,13826.
90.55,13843.
90.57,13854.
90.59,13853.
90.61,13861.
90.63,13884.
90.65,13888.
90.67,13887.
90.69,13900.
90.71,13914.
90.73,13923.
90.75,13917.
90.77,13862.
90.79,13787.
90.81,13708.
90.83,13703.
90.85,13631.
90.87,13594.
90.89,13571.
90.91,13551.
90.93,13539.
90.95,13519.
90.97,13528.
90.99,13519.
91.01,13513.
91.03,13522.
91.05,13525.
91.07,13545.
91.09,13536.
91.11,13537.
91.13,13542.
91.15,13528.
91.17,13565.
91.19,13557.
91.21,13557.
91.23,13589.
91.24,13589.
91.26,13592.
91.28,13599.
91.3,13619.
91.32,13634.
91.34,13620.
91.36,13656.
91.38,13659.
91.4,13688.
91.42,13659.
91.44,13655.
91.46,13690.
91.48,13707.
91.5,13705.
91.52,13732.
91.54,13737.
91.56,13749.
91.58,13713.
91.6,13772.
91.62,13764.
91.64,13779.
91.66,13794.
91.68,13802.
91.7,13822.
91.72,13805.
91.74,13809.
91.76,13746.
91.78,13697.
91.8,13651.
91.82,13579.
91.84,13559.
91.86,13522.
91.88,13521.
91.9,13472.
91.92,13501.
91.94,13463.
91.96,13453.
91.98,13468.
92.,13483.
92.02,13508.
92.04,13494.
92.06,13502.
92.08,13510.
92.1,13518.
92.12,13513.
92.14,13533.
92.16,13522.
92.18,13524.
92.2,13529.
92.22,13553.
92.24,13539.
92.26,13566.
92.28,13582.
92.29,13592.
92.31,13610.
92.33,13630.
92.35,13615.
92.37,13633.
92.39,13642.
92.41,13657.
92.43,13668.
92.45,13678.
92.47,13678.
92.49,13695.
92.51,13713.
92.53,13714.
92.55,13714.
92.57,13738.
92.59,13754.
92.61,13757.
92.63,13774.
92.65,13803.
92.67,13770.
92.69,13791.
92.71,13797.
92.73,13822.
92.75,13829.
92.77,13811.
92.79,13803.
92.81,13713.
92.83,13676.
92.85,13618.
92.87,13571.
92.89,13554.
92.91,13539.
92.93,13520.
92.95,13517.
92.97,13524.
92.99,13517.
93.01,13510.
93.03,13512.
93.05,13511.
93.07,13531.
93.09,13534.
93.11,13547.
93.13,13522.
93.15,13535.
93.17,13540.
93.19,13540.
93.21,13549.
93.23,13552.
93.25,13586.
93.27,13572.
93.29,13567.
93.31,13607.
93.33,13593.
93.35,13611.
93.36,13632.
93.38,13618.
93.4,13660.
93.42,13653.
93.44,13665.
93.46,13683.
93.48,13690.
93.5,13703.
93.52,13689.
93.54,13721.
93.56,13726.
93.58,13723.
93.6,13734.
93.62,13744.
93.64,13761.
93.66,13781.
93.68,13773.
93.7,13788.
93.72,13806.
93.74,13814.
93.76,13773.
93.78,13743.
93.8,13688.
93.82,13633.
93.84,13573.
93.86,13531.
93.88,13515.
93.9,13506.
93.92,13504.
93.94,13501.
93.96,13486.
93.98,13480.
94.,13494.
94.02,13524.
94.04,13505.
94.06,13505.
94.08,13550.
94.1,13533.
94.12,13540.
94.14,13529.
94.16,13532.
94.18,13548.
94.2,13548.
94.22,13543.
94.24,13556.
94.26,13563.
94.28,13595.
94.3,13598.
94.32,13605.
94.34,13620.
94.36,13631.
94.38,13650.
94.4,13655.
94.41,13627.
94.43,13662.
94.45,13688.
94.47,13698.
94.49,13688.
94.51,13684.
94.53,13714.
94.55,13737.
94.57,13741.
94.59,13765.
94.61,13769.
94.63,13762.
94.65,13794.
94.67,13796.
94.69,13789.
94.71,13808.
94.73,13818.
94.75,13830.
94.77,13806.
94.79,13768.
94.81,13707.
94.83,13629.
94.85,13596.
94.87,13561.
94.89,13521.
94.91,13506.
94.93,13496.
94.95,13496.
94.97,13480.
94.99,13465.
95.01,13469.
95.03,13484.
95.05,13479.
95.07,13496.
95.09,13492.
95.11,13509.
95.13,13513.
95.15,13517.
95.17,13519.
95.19,13521.
95.21,13532.
95.23,13530.
95.25,13529.
95.27,13546.
95.29,13561.
95.31,13579.
95.33,13580.
95.35,13589.
95.37,13595.
95.39,13622.
95.41,13638.
95.43,13644.
95.45,13660.
95.46,13681.
95.48,13666.
95.5,13693.
95.52,13689.
95.54,13709.
95.56,13729.
95.58,13712.
95.6,13739.
95.62,13763.
95.64,13761.
95.66,13763.
95.68,13773.
95.7,13777.
95.72,13799.
95.74,13832.
95.76,13839.
95.78,13853.
95.8,13860.
95.82,13873.
95.84,13828.
95.86,13824.
95.88,13759.
95.9,13715.
95.92,13652.
95.94,13623.
95.96,13583.
95.98,13573.
96.,13561.
96.02,13546.
96.04,13537.
96.06,13539.
96.08,13536.
96.1,13535.
96.12,13553.
96.14,13565.
96.16,13572.
96.18,13580.
96.2,13576.
96.22,13583.
96.24,13571.
96.26,13581.
96.28,13598.
96.3,13606.
96.32,13601.
96.34,13616.
96.36,13634.
96.38,13665.
96.4,13652.
96.42,13653.
96.44,13671.
96.46,13704.
96.48,13698.
96.5,13707.
96.51,13720.
96.53,13752.
96.55,13755.
96.57,13760.
96.59,13755.
96.61,13765.
96.63,13777.
96.65,13795.
96.67,13814.
96.69,13815.
96.71,13826.
96.73,13839.
96.75,13850.
96.77,13878.
96.79,13857.
96.81,13879.
96.83,13883.
96.85,13885.
96.87,13894.
96.89,13886.
96.91,13833.
96.93,13786.
96.95,13744.
96.97,13693.
96.99,13665.
97.01,13635.
97.03,13603.
97.05,13605.
97.07,13608.
97.09,13606.
97.11,13607.
97.13,13595.
97.15,13593.
97.17,13605.
97.19,13636.
97.21,13638.
97.23,13641.
97.25,13632.
97.27,13636.
97.29,13633.
97.31,13636.
97.33,13641.
97.35,13649.
97.37,13650.
97.39,13661.
97.41,13681.
97.43,13692.
97.45,13704.
97.47,13720.
97.49,13752.
97.51,13753.
97.53,13759.
97.54,13773.
97.56,13790.
97.58,13792.
97.6,13797.
97.62,13818.
97.64,13818.
97.66,13833.
97.68,13831.
97.7,13855.
97.72,13864.
97.74,13873.
97.76,13879.
97.78,13894.
97.8,13904.
97.82,13907.
97.84,13924.
97.86,13929.
97.88,13941.
97.9,13964.
97.92,13950.
97.94,13936.
97.96,13898.
97.98,13846.
98.,13795.
98.02,13730.
98.04,13693.
98.06,13644.
98.08,13652.
98.1,13610.
98.12,13608.
98.14,13609.
98.16,13574.
98.18,13567.
98.2,13567.
98.22,13568.
98.24,13582.
98.26,13587.
98.28,13593.
98.3,13607.
98.32,13600.
98.34,13612.
98.36,13617.
98.38,13588.
98.4,13649.
98.42,13626.
98.44,13632.
98.46,13654.
98.48,13671.
98.5,13671.
98.52,13703.
98.54,13704.
98.56,13717.
98.58,13736.
98.59,13739.
98.61,13746.
98.63,13749.
98.65,13790.
98.67,13791.
98.69,13812.
98.71,13793.
98.73,13801.
98.75,13818.
98.77,13832.
98.79,13838.
98.81,13840.
98.83,13854.
98.85,13880.
98.87,13872.
98.89,13890.
98.91,13896.
98.93,13917.
98.95,13937.
98.97,13935.
98.99,13914.
99.01,13881.
99.03,13837.
99.05,13779.
99.07,13720.
