starting
581951790,10987
581954659,11114
581974434,11380
581994365,11058
582014122,11105
582033878,11508
582053794,10976
582073549,11460
582093306,11512
582113220,11350
582132976,10883
582152733,11247
582172647,10947
582192405,11475
582212164,10895
582231918,11376
582251833,11548
582271590,11477
582291345,10800
582311261,11489
582331016,10824
582350774,11370
582370690,10931
582390446,11108
582410203,11678
582430119,11342
582449874,10960
582469632,11087
582489548,10977
582509305,11502
582529061,10894
582548976,11327
582568733,11647
582588488,11425
582608246,10907
582628164,11489
582647918,11003
582667674,10950
582687590,11044
582707345,11415
582727102,11114
582747016,11092
582766774,10917
582786530,11396
582806446,11158
582826203,11127
582845960,11519
582865874,10952
582885631,11086
582905387,10899
582925302,11459
582945057,10993
582964813,11202
582984570,11358
583004485,10856
583024241,11202
583043996,11356
583063912,11493
583083668,10964
583103424,11426
583123339,10859
583143096,11023
583162851,11313
583182767,10896
583202522,10960
583222278,10870
583242194,11096
583261951,11181
583281707,11258
583301465,10938
583321379,10987
583341137,11480
583360893,10805
583380808,10848
583400566,11509
583420323,10856
583440237,11495
583459993,11584
583479749,11125
583499664,11049
583519420,11360
583539176,11437
583559092,11469
583578848,11008
583598604,11328
583618359,11466
583638275,11456
583658030,10948
583677787,11353
583697702,10859
583717458,11091
583737215,10855
583757132,11595
583776889,11402
583796644,11115
583816559,11165
583836316,11140
583856071,11500
583875986,11248
583895742,11440
583915499,10811
583935415,10975
583955169,10950
583974928,11554
583994685,10920
584014600,11246
584034356,11655
584054112,10910
584074027,11421
584093783,11385
584113539,11327
584133455,10984
584153212,11532
584172967,10919
584192884,10900
584212642,11289
584232396,10940
584252312,11087
584272068,10849
584291825,11342
584311583,10859
584331499,11293
584351255,11477
584371010,11012
584390926,10995
584410681,11457
584430438,11207
584450353,10882
584470110,11361
584489866,10873
584509783,10857
584529539,10986
584549296,11106
584569212,10975
584588967,10727
584608725,11463
584628482,10890
584648396,11417
584668153,11561
584687910,10957
584707826,11147
584727583,11483
584747339,11553
584767255,11041
584787010,11577
584806767,11082
584826681,11041
584846438,11165
584866194,11059
584886110,10896
584905866,10849
584925624,11534
584945539,10927
584965296,11001
584985053,11315
585004808,11426
585024725,10895
585044482,11080
585064237,10830
585084153,11250
585103910,10897
585123666,11549
585143583,11561
585163339,11157
585183096,11135
